FAENA,CONDUCTOR,VEHICULO,FECHA,HORA,TURNO,TIPO,Detected type,Duration (sec),VELOCIDAD,Distance covered (metres),SUB TIPO,LATITUD ,LONGITUD
VAR,,1555 - KVWX83(M DE F),1/21/2020,15:37:38,Día,Distracción,Mirada ausente,"4,10",88.00,100.00,conducción distraída,-32.852778,-70.902500
VAR,,1653- LLWZ29,1/21/2020,13:18:53,Día,Distracción,Distracción,"3,28",90.00,82.00,conducción distraída,-33.331011,-70.696662
VAR,,1671- LRTK88,1/22/2020,10:01:25,Día,Distracción,Distracción,"3,59",39.00,39.00,conducción distraída,-33.156244,-70.650168
VAR,,1657 - LLWZ34,1/22/2020,09:59:01,Día,Distracción,Distracción,"3,17",43.00,38.00,conducción distraída,-33.154202,-70.671468
VAR,,1655- LLWZ25,1/22/2020,10:42:09,Día,Distracción,Distracción,"3,52",46.00,44.00,conducción distraída,-33.168818,-70.640113
VAR,,1555 - KVWX83(M DE F),1/22/2020,11:34:26,Día,Distracción,Mirada ausente,"3,27",68.00,62.00,conducción distraída,-33.248889,-70.752778
VAR,,1555 - KVWX83(M DE F),1/22/2020,11:33:30,Día,Distracción,Mirada ausente,"3,60",72.00,72.00,conducción distraída,-33.257778,-70.748889
VAR,,1651 - LPBX91,1/22/2020,02:09:46,Noche,Distracción,Fatiga,"1,52",87.00,37.00,conducción distraída,-33.574695,-71.511242
VAR,,1671- LRTK88,1/22/2020,03:11:23,Noche,Distracción,Distracción,"3,04",88.00,74.00,conducción distraída,-33.620941,-71.415322
VAR,,1671- LRTK88,1/22/2020,01:06:55,Noche,Distracción,Distracción,"3,09",89.00,77.00,conducción distraída,-33.498271,-70.789948
VAR,Braulio Díaz,1671- LRTK88,1/23/2020,19:07:27,Día,Distracción,Fatiga,"2,00",26.00,14.00,uso del teléfono móvil,-33.380513,-70.751127
VAR,,1242 - GWKL18,1/23/2020,23:34:58,Noche,Distracción,Fatiga,"2,79",19.00,15.00,conducción distraída,-33.146389,-70.310278
VAR,,1671- LRTK88,1/23/2020,19:08:52,Día,Distracción,Fatiga,"1,96",31.00,17.00,notificación de conducir distraído,-33.384046,-70.748372
VAR,,1671- LRTK88,1/23/2020,21:03:50,Noche,Distracción,Fatiga,"1,67",89.00,41.00,conducción distraída,-33.385928,-70.636952
VAR,,1653- LLWZ29,1/23/2020,07:55:54,Día,Distracción,Distracción,"3,55",91.00,90.00,conducción distraída,-33.303344,-70.699587
VAR,,1563 - KVWX92(MDEF),1/24/2020,09:09:25,Día,Distracción,Fatiga,"1,70",29.00,13.00,conducción distraída,-33.145556,-70.698611
VAR,,1670 - LRTK87,1/24/2020,00:14:07,Noche,Distracción,Mirada ausente,"3,09",33.00,28.00,conducción distraída,-33.367778,-70.500833
VAR,,1652 - LLWZ24(mdef),1/24/2020,14:30:52,Día,Distracción,Fatiga,"1,74",72.00,35.00,conducción distraída,-33.427537,-70.784016
VAR,,1555 - KVWX83(M DE F),1/24/2020,15:34:04,Día,Distracción,Mirada ausente,"3,08",83.00,71.00,conducción distraída,-33.324444,-70.718889
VAR,,1651 - LPBX91,1/25/2020,04:42:06,Noche,Distracción,Fatiga,"2,05",90.00,52.00,conducción distraída,-33.681746,-71.079052
VAR,,1655- LLWZ25,1/26/2020,00:06:36,Noche,Distracción,Fatiga,"1,57",24.00,10.00,conducción distraída,-33.370253,-70.507335
VAR,,1651 - LPBX91,1/27/2020,09:52:36,Día,Distracción,Fatiga,"1,65",30.00,14.00,conducción distraída,-33.334870,-70.713808
VAR,,1240 - GWKL16,1/27/2020,23:32:40,Noche,Distracción,Distracción,"3,02",42.00,35.00,conducción distraída,-33.163080,-70.322679
VAR,,1652 - LLWZ24(mdef),1/27/2020,09:45:13,Día,Distracción,Distracción,"3,44",88.00,84.00,conducción distraída,-33.292905,-70.733057
VAR,,1651 - LPBX91,1/28/2020,11:33:12,Día,Distracción,Fatiga,"2,20",60.00,37.00,conducción distraída,-33.295122,-70.732331
VAR,,1651 - LPBX91,1/28/2020,11:33:17,Día,Distracción,Fatiga,"1,94",61.00,33.00,conducción distraída,-33.295845,-70.732003
VAR,,1651 - LPBX91,1/28/2020,14:55:31,Día,Distracción,Distracción,"3,07",69.00,59.00,conducción distraída,-33.338195,-70.713037
VAR,,1651 - LPBX91,1/28/2020,04:29:31,Noche,Distracción,Fatiga,"1,78",89.00,44.00,conducción distraída,-33.662743,-71.247866
VAR,,1555 - KVWX83(M DE F),1/29/2020,13:10:45,Día,Distracción,Mirada ausente,"3,50",31.00,30.00,conducción distraída,-33.388333,-70.756944
